clean,corrupted,start_year
The attack lasted from the year 1145 to the year 11,The attack lasted from the year 1101 to the year 11,45
The order lasted from the year 1536 to the year 15,The order lasted from the year 1501 to the year 15,36
The operation lasted from the year 1325 to the year 13,The operation lasted from the year 1301 to the year 13,25
The shift lasted from the year 1170 to the year 11,The shift lasted from the year 1101 to the year 11,70
The trip lasted from the year 1320 to the year 13,The trip lasted from the year 1301 to the year 13,20
The case lasted from the year 1704 to the year 17,The case lasted from the year 1701 to the year 17,4
The effect lasted from the year 1407 to the year 14,The effect lasted from the year 1401 to the year 14,7
The testing lasted from the year 1743 to the year 17,The testing lasted from the year 1701 to the year 17,43
The campaign lasted from the year 1727 to the year 17,The campaign lasted from the year 1701 to the year 17,27
The quest lasted from the year 1417 to the year 14,The quest lasted from the year 1401 to the year 14,17
The study lasted from the year 1341 to the year 13,The study lasted from the year 1301 to the year 13,41
The rule lasted from the year 1550 to the year 15,The rule lasted from the year 1501 to the year 15,50
The case lasted from the year 1720 to the year 17,The case lasted from the year 1701 to the year 17,20
The test lasted from the year 1409 to the year 14,The test lasted from the year 1401 to the year 14,9
The impact lasted from the year 1135 to the year 11,The impact lasted from the year 1101 to the year 11,35
The growth lasted from the year 1274 to the year 12,The growth lasted from the year 1201 to the year 12,74
The practice lasted from the year 1417 to the year 14,The practice lasted from the year 1401 to the year 14,17
The test lasted from the year 1711 to the year 17,The test lasted from the year 1701 to the year 17,11
The plan lasted from the year 1388 to the year 13,The plan lasted from the year 1301 to the year 13,88
The plan lasted from the year 1743 to the year 17,The plan lasted from the year 1701 to the year 17,43
The progress lasted from the year 1641 to the year 16,The progress lasted from the year 1601 to the year 16,41
The quest lasted from the year 1518 to the year 15,The quest lasted from the year 1501 to the year 15,18
The operation lasted from the year 1397 to the year 13,The operation lasted from the year 1301 to the year 13,97
The quest lasted from the year 1498 to the year 14,The quest lasted from the year 1401 to the year 14,98
The practice lasted from the year 1611 to the year 16,The practice lasted from the year 1601 to the year 16,11
The fall lasted from the year 1573 to the year 15,The fall lasted from the year 1501 to the year 15,73
The effect lasted from the year 1454 to the year 14,The effect lasted from the year 1401 to the year 14,54
The contact lasted from the year 1573 to the year 15,The contact lasted from the year 1501 to the year 15,73
The deal lasted from the year 1785 to the year 17,The deal lasted from the year 1701 to the year 17,85
The progress lasted from the year 1210 to the year 12,The progress lasted from the year 1201 to the year 12,10
The case lasted from the year 1216 to the year 12,The case lasted from the year 1201 to the year 12,16
The deal lasted from the year 1289 to the year 12,The deal lasted from the year 1201 to the year 12,89
The study lasted from the year 1203 to the year 12,The study lasted from the year 1201 to the year 12,3
The impact lasted from the year 1410 to the year 14,The impact lasted from the year 1401 to the year 14,10
The quest lasted from the year 1431 to the year 14,The quest lasted from the year 1401 to the year 14,31
The order lasted from the year 1613 to the year 16,The order lasted from the year 1601 to the year 16,13
The impact lasted from the year 1481 to the year 14,The impact lasted from the year 1401 to the year 14,81
The progress lasted from the year 1610 to the year 16,The progress lasted from the year 1601 to the year 16,10
The process lasted from the year 1475 to the year 14,The process lasted from the year 1401 to the year 14,75
The testing lasted from the year 1590 to the year 15,The testing lasted from the year 1501 to the year 15,90
The case lasted from the year 1748 to the year 17,The case lasted from the year 1701 to the year 17,48
The growth lasted from the year 1323 to the year 13,The growth lasted from the year 1301 to the year 13,23
The shift lasted from the year 1362 to the year 13,The shift lasted from the year 1301 to the year 13,62
The fall lasted from the year 1409 to the year 14,The fall lasted from the year 1401 to the year 14,9
The testing lasted from the year 1685 to the year 16,The testing lasted from the year 1601 to the year 16,85
The study lasted from the year 1328 to the year 13,The study lasted from the year 1301 to the year 13,28
The process lasted from the year 1697 to the year 16,The process lasted from the year 1601 to the year 16,97
The riot lasted from the year 1288 to the year 12,The riot lasted from the year 1201 to the year 12,88
The practice lasted from the year 1607 to the year 16,The practice lasted from the year 1601 to the year 16,7
The test lasted from the year 1494 to the year 14,The test lasted from the year 1401 to the year 14,94
The growth lasted from the year 1355 to the year 13,The growth lasted from the year 1301 to the year 13,55
The contact lasted from the year 1606 to the year 16,The contact lasted from the year 1601 to the year 16,6
The quest lasted from the year 1791 to the year 17,The quest lasted from the year 1701 to the year 17,91
The operation lasted from the year 1708 to the year 17,The operation lasted from the year 1701 to the year 17,8
The testing lasted from the year 1373 to the year 13,The testing lasted from the year 1301 to the year 13,73
The order lasted from the year 1393 to the year 13,The order lasted from the year 1301 to the year 13,93
The effect lasted from the year 1723 to the year 17,The effect lasted from the year 1701 to the year 17,23
The attack lasted from the year 1459 to the year 14,The attack lasted from the year 1401 to the year 14,59
The rise lasted from the year 1733 to the year 17,The rise lasted from the year 1701 to the year 17,33
The riot lasted from the year 1362 to the year 13,The riot lasted from the year 1301 to the year 13,62
The deal lasted from the year 1647 to the year 16,The deal lasted from the year 1601 to the year 16,47
The program lasted from the year 1381 to the year 13,The program lasted from the year 1301 to the year 13,81
The tests lasted from the year 1136 to the year 11,The tests lasted from the year 1101 to the year 11,36
The program lasted from the year 1477 to the year 14,The program lasted from the year 1401 to the year 14,77
The order lasted from the year 1206 to the year 12,The order lasted from the year 1201 to the year 12,6
The development lasted from the year 1491 to the year 14,The development lasted from the year 1401 to the year 14,91
The development lasted from the year 1494 to the year 14,The development lasted from the year 1401 to the year 14,94
The operation lasted from the year 1708 to the year 17,The operation lasted from the year 1701 to the year 17,8
The work lasted from the year 1492 to the year 14,The work lasted from the year 1401 to the year 14,92
The employment lasted from the year 1797 to the year 17,The employment lasted from the year 1701 to the year 17,97
The attack lasted from the year 1592 to the year 15,The attack lasted from the year 1501 to the year 15,92
The trip lasted from the year 1605 to the year 16,The trip lasted from the year 1601 to the year 16,5
The trial lasted from the year 1445 to the year 14,The trial lasted from the year 1401 to the year 14,45
The order lasted from the year 1620 to the year 16,The order lasted from the year 1601 to the year 16,20
The contract lasted from the year 1423 to the year 14,The contract lasted from the year 1401 to the year 14,23
The trip lasted from the year 1770 to the year 17,The trip lasted from the year 1701 to the year 17,70
The contact lasted from the year 1133 to the year 11,The contact lasted from the year 1101 to the year 11,33
The growth lasted from the year 1554 to the year 15,The growth lasted from the year 1501 to the year 15,54
The growth lasted from the year 1643 to the year 16,The growth lasted from the year 1601 to the year 16,43
The tests lasted from the year 1262 to the year 12,The tests lasted from the year 1201 to the year 12,62
The trip lasted from the year 1713 to the year 17,The trip lasted from the year 1701 to the year 17,13
The employment lasted from the year 1277 to the year 12,The employment lasted from the year 1201 to the year 12,77
The campaign lasted from the year 1777 to the year 17,The campaign lasted from the year 1701 to the year 17,77
The project lasted from the year 1789 to the year 17,The project lasted from the year 1701 to the year 17,89
The quest lasted from the year 1513 to the year 15,The quest lasted from the year 1501 to the year 15,13
The tests lasted from the year 1204 to the year 12,The tests lasted from the year 1201 to the year 12,4
The contact lasted from the year 1439 to the year 14,The contact lasted from the year 1401 to the year 14,39
The fall lasted from the year 1184 to the year 11,The fall lasted from the year 1101 to the year 11,84
The test lasted from the year 1622 to the year 16,The test lasted from the year 1601 to the year 16,22
The quest lasted from the year 1653 to the year 16,The quest lasted from the year 1601 to the year 16,53
The trip lasted from the year 1405 to the year 14,The trip lasted from the year 1401 to the year 14,5
The study lasted from the year 1164 to the year 11,The study lasted from the year 1101 to the year 11,64
The trip lasted from the year 1475 to the year 14,The trip lasted from the year 1401 to the year 14,75
The trip lasted from the year 1239 to the year 12,The trip lasted from the year 1201 to the year 12,39
The project lasted from the year 1243 to the year 12,The project lasted from the year 1201 to the year 12,43
The tests lasted from the year 1427 to the year 14,The tests lasted from the year 1401 to the year 14,27
The progress lasted from the year 1202 to the year 12,The progress lasted from the year 1201 to the year 12,2
The trial lasted from the year 1575 to the year 15,The trial lasted from the year 1501 to the year 15,75
The tests lasted from the year 1282 to the year 12,The tests lasted from the year 1201 to the year 12,82
The marriage lasted from the year 1722 to the year 17,The marriage lasted from the year 1701 to the year 17,22
The shift lasted from the year 1216 to the year 12,The shift lasted from the year 1201 to the year 12,16
The trial lasted from the year 1469 to the year 14,The trial lasted from the year 1401 to the year 14,69
The testing lasted from the year 1793 to the year 17,The testing lasted from the year 1701 to the year 17,93
The program lasted from the year 1709 to the year 17,The program lasted from the year 1701 to the year 17,9
The plan lasted from the year 1271 to the year 12,The plan lasted from the year 1201 to the year 12,71
The shift lasted from the year 1702 to the year 17,The shift lasted from the year 1701 to the year 17,2
The effect lasted from the year 1566 to the year 15,The effect lasted from the year 1501 to the year 15,66
The campaign lasted from the year 1572 to the year 15,The campaign lasted from the year 1501 to the year 15,72
The deal lasted from the year 1514 to the year 15,The deal lasted from the year 1501 to the year 15,14
The study lasted from the year 1330 to the year 13,The study lasted from the year 1301 to the year 13,30
The fall lasted from the year 1696 to the year 16,The fall lasted from the year 1601 to the year 16,96
The order lasted from the year 1225 to the year 12,The order lasted from the year 1201 to the year 12,25
The tests lasted from the year 1313 to the year 13,The tests lasted from the year 1301 to the year 13,13
The work lasted from the year 1272 to the year 12,The work lasted from the year 1201 to the year 12,72
The development lasted from the year 1428 to the year 14,The development lasted from the year 1401 to the year 14,28
The order lasted from the year 1171 to the year 11,The order lasted from the year 1101 to the year 11,71
The plan lasted from the year 1241 to the year 12,The plan lasted from the year 1201 to the year 12,41
The quest lasted from the year 1178 to the year 11,The quest lasted from the year 1101 to the year 11,78
The rule lasted from the year 1551 to the year 15,The rule lasted from the year 1501 to the year 15,51
The process lasted from the year 1404 to the year 14,The process lasted from the year 1401 to the year 14,4
The tests lasted from the year 1674 to the year 16,The tests lasted from the year 1601 to the year 16,74
The operation lasted from the year 1627 to the year 16,The operation lasted from the year 1601 to the year 16,27
The fall lasted from the year 1322 to the year 13,The fall lasted from the year 1301 to the year 13,22
The impact lasted from the year 1790 to the year 17,The impact lasted from the year 1701 to the year 17,90
The tests lasted from the year 1442 to the year 14,The tests lasted from the year 1401 to the year 14,42
The contact lasted from the year 1619 to the year 16,The contact lasted from the year 1601 to the year 16,19
The rule lasted from the year 1324 to the year 13,The rule lasted from the year 1301 to the year 13,24
The existence lasted from the year 1791 to the year 17,The existence lasted from the year 1701 to the year 17,91
The employment lasted from the year 1558 to the year 15,The employment lasted from the year 1501 to the year 15,58
The existence lasted from the year 1438 to the year 14,The existence lasted from the year 1401 to the year 14,38
The operation lasted from the year 1527 to the year 15,The operation lasted from the year 1501 to the year 15,27
The development lasted from the year 1248 to the year 12,The development lasted from the year 1201 to the year 12,48
The development lasted from the year 1596 to the year 15,The development lasted from the year 1501 to the year 15,96
The process lasted from the year 1576 to the year 15,The process lasted from the year 1501 to the year 15,76
The study lasted from the year 1293 to the year 12,The study lasted from the year 1201 to the year 12,93
The deal lasted from the year 1786 to the year 17,The deal lasted from the year 1701 to the year 17,86
The contact lasted from the year 1532 to the year 15,The contact lasted from the year 1501 to the year 15,32
The trial lasted from the year 1516 to the year 15,The trial lasted from the year 1501 to the year 15,16
The attack lasted from the year 1477 to the year 14,The attack lasted from the year 1401 to the year 14,77
The effect lasted from the year 1249 to the year 12,The effect lasted from the year 1201 to the year 12,49
The tests lasted from the year 1183 to the year 11,The tests lasted from the year 1101 to the year 11,83
The work lasted from the year 1185 to the year 11,The work lasted from the year 1101 to the year 11,85
The test lasted from the year 1704 to the year 17,The test lasted from the year 1701 to the year 17,4
The study lasted from the year 1465 to the year 14,The study lasted from the year 1401 to the year 14,65
The quest lasted from the year 1648 to the year 16,The quest lasted from the year 1601 to the year 16,48
The progress lasted from the year 1715 to the year 17,The progress lasted from the year 1701 to the year 17,15
The impact lasted from the year 1620 to the year 16,The impact lasted from the year 1601 to the year 16,20
The effect lasted from the year 1295 to the year 12,The effect lasted from the year 1201 to the year 12,95
The process lasted from the year 1233 to the year 12,The process lasted from the year 1201 to the year 12,33
The trip lasted from the year 1382 to the year 13,The trip lasted from the year 1301 to the year 13,82
The employment lasted from the year 1215 to the year 12,The employment lasted from the year 1201 to the year 12,15
The marriage lasted from the year 1734 to the year 17,The marriage lasted from the year 1701 to the year 17,34
The operation lasted from the year 1581 to the year 15,The operation lasted from the year 1501 to the year 15,81
The trip lasted from the year 1611 to the year 16,The trip lasted from the year 1601 to the year 16,11
The riot lasted from the year 1295 to the year 12,The riot lasted from the year 1201 to the year 12,95
The test lasted from the year 1621 to the year 16,The test lasted from the year 1601 to the year 16,21
The trial lasted from the year 1607 to the year 16,The trial lasted from the year 1601 to the year 16,7
The project lasted from the year 1367 to the year 13,The project lasted from the year 1301 to the year 13,67
The trial lasted from the year 1634 to the year 16,The trial lasted from the year 1601 to the year 16,34
The trip lasted from the year 1347 to the year 13,The trip lasted from the year 1301 to the year 13,47
The campaign lasted from the year 1262 to the year 12,The campaign lasted from the year 1201 to the year 12,62
The operation lasted from the year 1185 to the year 11,The operation lasted from the year 1101 to the year 11,85
The progress lasted from the year 1656 to the year 16,The progress lasted from the year 1601 to the year 16,56
The rise lasted from the year 1458 to the year 14,The rise lasted from the year 1401 to the year 14,58
The existence lasted from the year 1178 to the year 11,The existence lasted from the year 1101 to the year 11,78
The attack lasted from the year 1467 to the year 14,The attack lasted from the year 1401 to the year 14,67
The test lasted from the year 1438 to the year 14,The test lasted from the year 1401 to the year 14,38
The practice lasted from the year 1162 to the year 11,The practice lasted from the year 1101 to the year 11,62
The rise lasted from the year 1566 to the year 15,The rise lasted from the year 1501 to the year 15,66
The tests lasted from the year 1315 to the year 13,The tests lasted from the year 1301 to the year 13,15
The riot lasted from the year 1604 to the year 16,The riot lasted from the year 1601 to the year 16,4
The shift lasted from the year 1615 to the year 16,The shift lasted from the year 1601 to the year 16,15
The trip lasted from the year 1349 to the year 13,The trip lasted from the year 1301 to the year 13,49
The program lasted from the year 1451 to the year 14,The program lasted from the year 1401 to the year 14,51
The trial lasted from the year 1618 to the year 16,The trial lasted from the year 1601 to the year 16,18
The attack lasted from the year 1515 to the year 15,The attack lasted from the year 1501 to the year 15,15
The rule lasted from the year 1132 to the year 11,The rule lasted from the year 1101 to the year 11,32
The fall lasted from the year 1722 to the year 17,The fall lasted from the year 1701 to the year 17,22
The trial lasted from the year 1444 to the year 14,The trial lasted from the year 1401 to the year 14,44
The work lasted from the year 1713 to the year 17,The work lasted from the year 1701 to the year 17,13
The fall lasted from the year 1347 to the year 13,The fall lasted from the year 1301 to the year 13,47
The shift lasted from the year 1553 to the year 15,The shift lasted from the year 1501 to the year 15,53
The quest lasted from the year 1565 to the year 15,The quest lasted from the year 1501 to the year 15,65
The development lasted from the year 1274 to the year 12,The development lasted from the year 1201 to the year 12,74
The impact lasted from the year 1768 to the year 17,The impact lasted from the year 1701 to the year 17,68
The rule lasted from the year 1772 to the year 17,The rule lasted from the year 1701 to the year 17,72
The existence lasted from the year 1480 to the year 14,The existence lasted from the year 1401 to the year 14,80
The existence lasted from the year 1616 to the year 16,The existence lasted from the year 1601 to the year 16,16
The order lasted from the year 1610 to the year 16,The order lasted from the year 1601 to the year 16,10
The process lasted from the year 1217 to the year 12,The process lasted from the year 1201 to the year 12,17
The test lasted from the year 1686 to the year 16,The test lasted from the year 1601 to the year 16,86
The process lasted from the year 1617 to the year 16,The process lasted from the year 1601 to the year 16,17
The deal lasted from the year 1569 to the year 15,The deal lasted from the year 1501 to the year 15,69
The process lasted from the year 1184 to the year 11,The process lasted from the year 1101 to the year 11,84
The operation lasted from the year 1512 to the year 15,The operation lasted from the year 1501 to the year 15,12
The tests lasted from the year 1295 to the year 12,The tests lasted from the year 1201 to the year 12,95
The deal lasted from the year 1717 to the year 17,The deal lasted from the year 1701 to the year 17,17
The quest lasted from the year 1424 to the year 14,The quest lasted from the year 1401 to the year 14,24
The quest lasted from the year 1258 to the year 12,The quest lasted from the year 1201 to the year 12,58
The fall lasted from the year 1595 to the year 15,The fall lasted from the year 1501 to the year 15,95
The shift lasted from the year 1297 to the year 12,The shift lasted from the year 1201 to the year 12,97
The attack lasted from the year 1540 to the year 15,The attack lasted from the year 1501 to the year 15,40
The case lasted from the year 1172 to the year 11,The case lasted from the year 1101 to the year 11,72
The rise lasted from the year 1390 to the year 13,The rise lasted from the year 1301 to the year 13,90
The practice lasted from the year 1609 to the year 16,The practice lasted from the year 1601 to the year 16,9
The program lasted from the year 1687 to the year 16,The program lasted from the year 1601 to the year 16,87
The test lasted from the year 1320 to the year 13,The test lasted from the year 1301 to the year 13,20
The case lasted from the year 1592 to the year 15,The case lasted from the year 1501 to the year 15,92
The quest lasted from the year 1278 to the year 12,The quest lasted from the year 1201 to the year 12,78
The study lasted from the year 1417 to the year 14,The study lasted from the year 1401 to the year 14,17
The contract lasted from the year 1434 to the year 14,The contract lasted from the year 1401 to the year 14,34
The quest lasted from the year 1635 to the year 16,The quest lasted from the year 1601 to the year 16,35
The riot lasted from the year 1635 to the year 16,The riot lasted from the year 1601 to the year 16,35
The campaign lasted from the year 1359 to the year 13,The campaign lasted from the year 1301 to the year 13,59
The campaign lasted from the year 1523 to the year 15,The campaign lasted from the year 1501 to the year 15,23
The campaign lasted from the year 1624 to the year 16,The campaign lasted from the year 1601 to the year 16,24
The rule lasted from the year 1403 to the year 14,The rule lasted from the year 1401 to the year 14,3
The fall lasted from the year 1260 to the year 12,The fall lasted from the year 1201 to the year 12,60
The contract lasted from the year 1310 to the year 13,The contract lasted from the year 1301 to the year 13,10
The project lasted from the year 1225 to the year 12,The project lasted from the year 1201 to the year 12,25
The development lasted from the year 1337 to the year 13,The development lasted from the year 1301 to the year 13,37
The marriage lasted from the year 1571 to the year 15,The marriage lasted from the year 1501 to the year 15,71
The plan lasted from the year 1564 to the year 15,The plan lasted from the year 1501 to the year 15,64
The development lasted from the year 1670 to the year 16,The development lasted from the year 1601 to the year 16,70
The trip lasted from the year 1638 to the year 16,The trip lasted from the year 1601 to the year 16,38
The case lasted from the year 1373 to the year 13,The case lasted from the year 1301 to the year 13,73
The impact lasted from the year 1324 to the year 13,The impact lasted from the year 1301 to the year 13,24
The existence lasted from the year 1137 to the year 11,The existence lasted from the year 1101 to the year 11,37
The growth lasted from the year 1468 to the year 14,The growth lasted from the year 1401 to the year 14,68
The process lasted from the year 1264 to the year 12,The process lasted from the year 1201 to the year 12,64
The process lasted from the year 1702 to the year 17,The process lasted from the year 1701 to the year 17,2
The operation lasted from the year 1752 to the year 17,The operation lasted from the year 1701 to the year 17,52
The test lasted from the year 1709 to the year 17,The test lasted from the year 1701 to the year 17,9
The test lasted from the year 1222 to the year 12,The test lasted from the year 1201 to the year 12,22
The trip lasted from the year 1490 to the year 14,The trip lasted from the year 1401 to the year 14,90
The project lasted from the year 1620 to the year 16,The project lasted from the year 1601 to the year 16,20
The program lasted from the year 1276 to the year 12,The program lasted from the year 1201 to the year 12,76
The rule lasted from the year 1408 to the year 14,The rule lasted from the year 1401 to the year 14,8
The project lasted from the year 1549 to the year 15,The project lasted from the year 1501 to the year 15,49
The growth lasted from the year 1716 to the year 17,The growth lasted from the year 1701 to the year 17,16
The operation lasted from the year 1704 to the year 17,The operation lasted from the year 1701 to the year 17,4
The testing lasted from the year 1589 to the year 15,The testing lasted from the year 1501 to the year 15,89
The impact lasted from the year 1479 to the year 14,The impact lasted from the year 1401 to the year 14,79
The attack lasted from the year 1756 to the year 17,The attack lasted from the year 1701 to the year 17,56
The attack lasted from the year 1603 to the year 16,The attack lasted from the year 1601 to the year 16,3
The progress lasted from the year 1795 to the year 17,The progress lasted from the year 1701 to the year 17,95
The shift lasted from the year 1585 to the year 15,The shift lasted from the year 1501 to the year 15,85
The contract lasted from the year 1266 to the year 12,The contract lasted from the year 1201 to the year 12,66
The impact lasted from the year 1521 to the year 15,The impact lasted from the year 1501 to the year 15,21
The study lasted from the year 1235 to the year 12,The study lasted from the year 1201 to the year 12,35
The quest lasted from the year 1215 to the year 12,The quest lasted from the year 1201 to the year 12,15
The program lasted from the year 1711 to the year 17,The program lasted from the year 1701 to the year 17,11
The rule lasted from the year 1751 to the year 17,The rule lasted from the year 1701 to the year 17,51
The work lasted from the year 1766 to the year 17,The work lasted from the year 1701 to the year 17,66
The rule lasted from the year 1408 to the year 14,The rule lasted from the year 1401 to the year 14,8
The project lasted from the year 1629 to the year 16,The project lasted from the year 1601 to the year 16,29
The fall lasted from the year 1241 to the year 12,The fall lasted from the year 1201 to the year 12,41
The case lasted from the year 1203 to the year 12,The case lasted from the year 1201 to the year 12,3
The operation lasted from the year 1251 to the year 12,The operation lasted from the year 1201 to the year 12,51
The project lasted from the year 1577 to the year 15,The project lasted from the year 1501 to the year 15,77
The development lasted from the year 1718 to the year 17,The development lasted from the year 1701 to the year 17,18
The contract lasted from the year 1336 to the year 13,The contract lasted from the year 1301 to the year 13,36
The attack lasted from the year 1465 to the year 14,The attack lasted from the year 1401 to the year 14,65
The contact lasted from the year 1571 to the year 15,The contact lasted from the year 1501 to the year 15,71
The practice lasted from the year 1761 to the year 17,The practice lasted from the year 1701 to the year 17,61
The program lasted from the year 1212 to the year 12,The program lasted from the year 1201 to the year 12,12
The contract lasted from the year 1221 to the year 12,The contract lasted from the year 1201 to the year 12,21
The rule lasted from the year 1238 to the year 12,The rule lasted from the year 1201 to the year 12,38
The fall lasted from the year 1624 to the year 16,The fall lasted from the year 1601 to the year 16,24
The contract lasted from the year 1792 to the year 17,The contract lasted from the year 1701 to the year 17,92
The impact lasted from the year 1230 to the year 12,The impact lasted from the year 1201 to the year 12,30
The fall lasted from the year 1496 to the year 14,The fall lasted from the year 1401 to the year 14,96
The practice lasted from the year 1243 to the year 12,The practice lasted from the year 1201 to the year 12,43
The development lasted from the year 1706 to the year 17,The development lasted from the year 1701 to the year 17,6
The marriage lasted from the year 1402 to the year 14,The marriage lasted from the year 1401 to the year 14,2
The rise lasted from the year 1255 to the year 12,The rise lasted from the year 1201 to the year 12,55
The shift lasted from the year 1418 to the year 14,The shift lasted from the year 1401 to the year 14,18
The contract lasted from the year 1278 to the year 12,The contract lasted from the year 1201 to the year 12,78
The attack lasted from the year 1549 to the year 15,The attack lasted from the year 1501 to the year 15,49
The trial lasted from the year 1147 to the year 11,The trial lasted from the year 1101 to the year 11,47
The effect lasted from the year 1575 to the year 15,The effect lasted from the year 1501 to the year 15,75
The employment lasted from the year 1735 to the year 17,The employment lasted from the year 1701 to the year 17,35
The program lasted from the year 1612 to the year 16,The program lasted from the year 1601 to the year 16,12
The employment lasted from the year 1453 to the year 14,The employment lasted from the year 1401 to the year 14,53
The plan lasted from the year 1407 to the year 14,The plan lasted from the year 1401 to the year 14,7
The case lasted from the year 1354 to the year 13,The case lasted from the year 1301 to the year 13,54
The operation lasted from the year 1442 to the year 14,The operation lasted from the year 1401 to the year 14,42
The riot lasted from the year 1477 to the year 14,The riot lasted from the year 1401 to the year 14,77
The campaign lasted from the year 1345 to the year 13,The campaign lasted from the year 1301 to the year 13,45
The progress lasted from the year 1138 to the year 11,The progress lasted from the year 1101 to the year 11,38
The attack lasted from the year 1596 to the year 15,The attack lasted from the year 1501 to the year 15,96
The existence lasted from the year 1721 to the year 17,The existence lasted from the year 1701 to the year 17,21
The quest lasted from the year 1133 to the year 11,The quest lasted from the year 1101 to the year 11,33
The test lasted from the year 1294 to the year 12,The test lasted from the year 1201 to the year 12,94
